Date	Open	High	Low	Close
2007-01-22	100.08	100.23	100.08	100.23
2007-01-23	100.25	100.25	100.23	100.23
2007-01-24	100.24	100.24	100.12	100.12
2007-01-25	100.14	100.14	99.95	99.95
2007-01-29	99.98	99.98	99.85	99.85
2007-01-30	99.69	99.91	99.69	99.89
2007-01-31	99.98	99.98	99.96	99.96
2007-02-01	100.13	100.13	100.06	100.06
2007-02-02	99.99	100.26	99.99	100.26
2007-02-05	100.42	100.42	100.42	100.42
2007-02-06	100.37	100.4	100.37	100.4
2007-02-07	100.48	100.55	100.45	100.45
2007-02-08	100.43	100.5	100.31	100.31
2007-02-09	100.23	100.23	100.11	100.11
2007-02-12	100.08	100.08	100.04	100.04
2007-02-13	99.98	99.98	99.97	99.97
2007-02-14	100.13	100.13	100.13	100.13
2007-02-15	100.14	100.4	100.14	100.4
2007-02-16	100.47	100.47	100.36	100.36
2007-02-19	100.31	100.31	100.28	100.28
2007-02-20	100.23	100.31	100.23	100.31
2007-02-21	100.43	100.43	100.39	100.4
2007-02-22	100.35	100.35	100.21	100.21
2007-02-23	100.21	100.45	100.21	100.45
2007-02-26	100.63	100.72	100.63	100.72
2007-02-27	100.84	100.9	100.84	100.9
2007-02-28	101.09	101.09	100.99	101.01
2007-03-01	101.01	101.07	101.01	101.07
2007-03-02	101.05	101.05	101.05	101.05
2007-03-05	101.4	101.4	101.29	101.29
2007-03-06	101.25	101.26	101.25	101.26
2007-03-07	101.27	101.3	101.27	101.3
2007-03-08	101.26	101.26	101.23	101.23
2007-03-09	101.28	101.29	101.05	101.05
2007-03-12	101.02	101.26	101.02	101.23
2007-03-13	101.25	101.38	101.25	101.37
2007-03-14	101.5	101.52	101.5	101.52
2007-03-15	101.38	101.4	101.32	101.32
2007-03-16	101.4	101.43	101.33	101.33
2007-03-19	101.2	101.23	101.19	101.19
2007-03-20	101.24	101.3	101.24	101.3
2007-03-21	101.33	101.33	101.26	101.26
2007-03-22	101.34	101.47	101.21	101.21
2007-03-23	101.18	101.18	100.96	100.96
2007-03-26	100.95	101.01	100.95	100.96
2007-03-27	100.89	100.89	100.86	100.88
2007-03-28	100.89	100.89	100.87	100.87
2007-03-29	100.79	100.79	100.73	100.73
2007-03-30	100.74	100.74	100.73	100.73
