Date	Open	High	Low	Close
2014-05-19	100.96	101.61	100.96	101.29
2014-06-20	105.15	105.38	105.15	105.38
2014-08-15	102.98	102.98	102.45	102.45
2014-10-30	103.54	103.61	103.41	103.61
2014-11-26	108.6	108.6	108.35	108.35
2014-11-27	108.52	108.52	108.5	108.5
2014-12-12	105.07	105.07	104.1	104.1
2014-12-15	103.91	103.91	102.6	102.6
2014-12-16	102.87	103.86	102.87	103.86
2014-12-17	102.42	103.18	102.42	103.18
2014-12-18	104.67	105.57	104.67	105.57
2014-12-19	106.89	106.89	106.86	106.86
2014-12-22	107.15	107.21	107.15	107.21
2014-12-23	107.36	107.81	107.36	107.81
2014-12-29	108.21	108.21	108.21	108.21
2014-12-30	107.56	107.56	107.38	107.38
2015-01-02	107.31	107.31	106.48	106.48
2015-01-05	106.25	106.25	104.72	104.72
2015-01-06	104.66	104.66	103.68	103.68
2015-01-07	104.04	104.35	104.04	104.35
2015-01-08	105.37	106.59	105.37	106.59
2015-01-09	106.37	106.37	105.49	105.49
2015-01-12	105.73	105.73	105.26	105.26
2015-01-13	105.17	106.31	105.17	106.31
2015-01-14	104.58	104.58	103.96	103.96
2015-01-15	105.44	105.44	104.2	104.2
2015-01-16	103.52	104.24	103.52	104.24
2015-01-19	104.72	105.22	104.72	105.22
2015-01-20	105.62	105.62	105.15	105.15
2015-01-21	105.6	106.16	105.6	106.16
2015-01-22	106.98	106.98	106.98	106.98
2015-01-23	107.73	107.87	107.73	107.87
2015-01-26	107.29	107.94	107.29	107.94
2015-01-27	108.2	108.2	107.12	107.12
2015-01-28	107.09	107.09	107.09	107.09
2015-01-29	106.24	106.24	106.22	106.22
2015-01-30	107.07	107.07	106.14	106.14
2015-02-02	106.16	106.49	106.16	106.49
2015-02-03	106.9	107.69	106.9	107.69
2015-02-04	108.26	108.47	108.26	108.47
2015-02-05	107.81	108.69	107.81	108.69
2015-02-06	108.68	109.14	108.68	109.14
2015-02-09	108.24	108.28	108.24	108.28
2015-02-10	108.2	108.59	108.2	108.59
2015-02-11	109.0	109.0	109.0	109.0
2015-02-12	109.17	109.56	109.17	109.56
2015-02-13	110.22	110.55	110.22	110.55
2015-02-16	110.38	110.53	110.38	110.53
2015-02-17	110.13	110.52	110.13	110.52
2015-02-18	110.91	110.92	110.91	110.92
2015-02-19	110.76	111.28	110.76	111.28
2015-02-20	111.06	111.13	111.06	111.13
2015-02-23	111.72	111.72	111.69	111.69
2015-02-24	111.82	112.21	111.82	112.21
2015-02-25	112.09	112.09	112.06	112.06
2015-02-26	112.11	112.39	112.11	112.39
2015-02-27	112.24	112.37	112.24	112.37
