Date	Open	High	Low	Close
2012-10-19	100.45	100.64	100.21	100.21
2012-10-22	99.91	100.13	99.48	99.48
2012-10-23	99.53	99.53	98.64	98.64
2012-10-24	98.99	99.58	98.99	99.37
2012-10-25	99.33	99.85	99.33	99.47
2012-10-26	99.31	99.95	99.31	99.67
2012-10-29	99.54	99.54	99.47	99.54
2012-10-31	100.15	100.15	99.64	99.64
2012-11-01	99.69	100.5	99.69	100.49
2012-11-02	100.36	100.86	99.99	100.46
2012-11-05	100.22	100.3	100.11	100.11
2012-11-07	100.9	101.07	99.34	99.34
2012-11-08	99.89	100.16	99.74	99.74
2012-11-09	99.71	99.74	99.15	99.63
2012-11-12	99.59	99.64	99.24	99.24
2012-11-13	98.84	99.37	98.84	99.37
2012-11-14	99.2	99.24	98.2	98.2
2012-11-15	97.77	97.83	96.96	96.96
2012-11-16	97.33	97.33	97.0	97.0
2012-11-19	97.96	98.44	97.96	98.44
2012-11-20	98.31	98.54	98.06	98.29
2012-11-21	98.47	98.65	98.42	98.42
2012-11-22	98.49	98.77	98.49	98.77
2012-11-23	98.6	98.6	98.46	98.53
2012-11-26	98.46	98.9	98.46	98.9
2012-11-27	99.21	99.73	99.21	99.56
2012-11-28	99.68	99.96	99.68	99.96
2012-11-29	100.51	100.52	100.41	100.41
2012-11-30	100.3	100.54	99.0	100.17
2012-12-03	100.18	100.38	99.91	99.91
2012-12-04	99.65	100.05	99.65	99.66
2012-12-05	99.8	100.02	99.8	99.85
2012-12-06	100.15	101.01	100.15	100.87
2012-12-07	101.22	101.48	100.91	100.91
2012-12-10	101.31	101.38	101.21	101.38
2012-12-11	101.14	101.58	101.14	101.52
2012-12-12	101.49	101.5	100.91	101.12
2012-12-13	100.68	100.83	100.27	100.27
2012-12-14	100.16	100.36	99.55	99.55
2012-12-17	99.53	99.61	99.39	99.49
2012-12-18	100.03	100.05	99.52	99.52
2012-12-19	99.6	99.6	99.31	99.42
2012-12-20	99.5	99.5	99.26	99.26
2012-12-21	98.85	99.61	98.59	99.61
2012-12-28	98.42	98.75	98.33	98.33
2013-01-02	99.2	100.22	99.2	100.22
2013-01-03	100.74	101.39	100.74	101.35
2013-01-07	101.7	101.7	100.85	100.85
2013-01-08	100.68	101.07	100.68	101.07
2013-01-09	101.21	101.5	101.21	101.44
2013-01-10	101.59	101.6	100.77	100.91
2013-01-11	100.74	100.74	99.91	99.91
2013-01-14	100.17	100.17	99.93	99.93
2013-01-16	100.19	100.35	100.1	100.35
2013-01-17	100.29	100.69	100.15	100.47
2013-01-18	100.16	100.57	100.16	100.45
2013-01-21	100.47	100.71	100.47	100.63
2013-01-22	100.57	101.15	100.52	100.9
2013-01-23	101.09	101.24	100.92	100.92
2013-01-24	100.79	101.06	100.79	100.94
2013-01-25	100.64	100.92	100.37	100.37
2013-01-28	100.42	100.59	100.3	100.3
2013-01-29	100.71	101.04	100.71	101.04
2013-01-30	100.89	100.89	100.27	100.27
2013-01-31	100.32	100.32	100.17	100.17
2013-02-01	99.77	100.0	99.53	99.53
2013-02-04	100.0	100.11	99.66	99.66
2013-02-05	100.13	100.13	99.56	99.56
2013-02-07	99.84	100.54	99.82	100.14
2013-02-08	100.7	101.92	100.7	100.89
2013-02-12	100.8	100.87	100.62	100.62
2013-02-13	100.71	101.19	100.53	100.97
2013-02-14	101.12	101.62	101.12	101.62
2013-02-15	101.48	101.81	101.48	101.58
2013-02-18	101.76	101.84	101.72	101.72
2013-02-19	102.0	102.39	102.0	102.22
2013-02-20	102.35	102.85	102.35	102.81
2013-02-22	103.43	103.89	103.43	103.85
2013-02-25	103.74	103.83	103.74	103.81
2013-02-26	103.4	104.08	103.4	103.71
2013-02-27	103.84	104.22	103.84	104.22
2013-02-28	104.57	105.3	104.57	105.3
2013-03-01	104.81	105.29	104.81	105.29
2013-03-04	104.93	105.56	104.93	105.56
2013-03-05	105.89	106.64	105.89	106.64
2013-03-06	106.53	106.88	106.53	106.59
2013-03-07	106.61	106.63	105.91	105.91
2013-03-08	105.75	106.53	105.75	106.24
2013-03-11	106.37	106.84	106.37	106.78
2013-03-12	106.69	106.71	106.37	106.48
2013-03-13	106.67	107.62	106.67	107.24
2013-03-14	107.35	107.67	107.2	107.39
2013-03-15	107.47	107.47	107.31	107.32
2013-03-18	107.81	108.22	107.81	108.01
2013-03-19	107.66	108.29	107.66	108.22
2013-03-20	108.39	108.52	108.39	108.52
2013-03-21	108.25	108.48	108.25	108.4
2013-03-22	108.52	108.62	108.52	108.62
2013-03-25	108.77	109.27	108.77	109.27
2013-03-26	109.51	109.65	109.5	109.64
2013-03-27	110.36	110.64	110.13	110.5
2013-03-28	110.5	110.99	110.36	110.71
2013-04-02	110.44	111.36	110.44	111.01
2013-04-03	111.18	111.38	110.39	110.39
2013-04-04	110.59	110.6	110.01	110.01
2013-04-05	109.58	109.65	108.19	108.19
2013-04-08	108.76	109.04	108.75	108.75
2013-04-09	109.31	109.39	108.82	108.82
2013-04-10	108.95	110.13	108.95	109.99
2013-04-11	110.36	110.5	110.28	110.41
2013-04-12	110.31	110.31	109.81	109.81
2013-04-15	109.95	109.95	109.4	109.4
2013-04-16	108.94	108.97	108.59	108.59
2013-04-17	108.79	108.79	108.11	108.11
2013-04-18	108.48	108.48	108.21	108.21
2013-04-19	108.26	108.32	108.02	108.29
2013-04-22	109.02	110.04	108.83	108.83
2013-04-23	109.07	110.25	109.07	110.1
2013-04-24	110.47	111.03	110.47	111.02
2013-04-25	111.39	112.63	111.39	112.47
2013-04-26	112.35	112.35	111.39	111.39
2013-04-29	112.0	112.0	111.45	111.89
2013-04-30	112.33	112.33	111.69	111.69
2013-05-02	111.8	111.8	111.01	111.67
2013-05-03	111.64	112.35	111.62	112.12
2013-05-06	112.01	113.15	111.75	111.8
2013-05-07	111.36	111.49	110.96	111.45
2013-05-08	111.48	111.48	111.19	111.29
2013-05-09	111.51	111.81	111.51	111.57
2013-05-10	111.46	111.92	111.28	111.86
