Date	Open	High	Low	Close
2010-01-29	36.47	36.47	36.47	36.47
2010-02-26	36.61	36.61	36.61	36.61
2010-03-31	39.11	39.11	39.11	39.11
2010-04-30	36.29	36.29	36.29	36.29
2010-05-31	33.61	33.61	33.61	33.61
2010-06-30	33.99	33.99	33.99	33.99
2010-07-30	36.43	36.43	36.43	36.43
2010-08-31	36.56	36.56	36.56	36.56
2010-09-30	40.1	40.1	40.1	40.1
2010-10-29	41.27	41.27	41.27	41.27
2010-11-30	38.03	38.03	38.03	38.03
2010-12-31	40.5	40.5	40.5	40.5
2011-01-31	40.8	40.8	40.8	40.8
2011-02-28	42.0	42.0	42.0	42.0
2011-03-31	42.74	42.74	42.74	42.74
2011-04-29	43.39	43.39	43.39	43.39
2011-05-31	44.8	44.8	44.8	44.8
2011-06-30	43.77	43.77	43.77	43.77
2011-07-29	41.81	41.81	41.81	41.81
2011-08-31	38.42	38.42	38.42	38.42
2011-09-30	34.86	34.86	34.86	34.86
2011-10-31	36.49	36.49	36.49	36.49
2011-11-30	33.8	33.8	33.8	33.8
2011-12-30	33.99	33.99	33.99	33.99
2012-01-31	35.54	35.54	35.54	35.54
2012-02-29	35.9	35.9	35.9	35.9
2012-03-30	37.89	37.89	37.89	37.89
2012-04-30	36.62	36.62	36.62	36.62
2012-05-31	36.07	36.07	36.07	36.07
2012-06-29	37.13	37.13	37.13	37.13
2012-07-17	38.0	38.0	38.0	38.0
2012-07-18	38.25	38.25	38.25	38.25
2012-07-19	38.44	38.44	38.44	38.44
2012-07-20	38.06	38.06	38.06	38.06
2012-07-23	37.02	37.02	37.02	37.02
2012-07-24	37.19	37.19	37.19	37.19
2012-07-25	37.7	37.7	37.7	37.7
2012-07-26	38.62	38.62	38.62	38.62
2012-07-27	38.57	38.57	38.57	38.57
2012-07-30	38.95	38.95	38.95	38.95
2012-07-31	38.72	38.72	38.72	38.72
2012-08-01	38.8	38.8	38.8	38.8
2012-08-02	38.55	38.55	38.55	38.55
2012-08-06	39.19	39.19	39.19	39.19
2012-08-07	39.2	39.2	39.2	39.2
2012-08-08	39.18	39.18	39.18	39.18
2012-08-09	39.04	39.04	39.04	39.04
2012-08-10	39.03	39.03	39.03	39.03
2012-08-13	39.07	39.07	39.07	39.07
2012-08-14	39.09	39.09	39.09	39.09
2012-08-16	39.3	39.3	39.3	39.3
2012-08-17	39.42	39.42	39.42	39.42
2012-08-20	39.25	39.25	39.25	39.25
2012-08-21	39.37	39.37	39.37	39.37
2012-08-22	39.21	39.21	39.21	39.21
2012-08-23	38.76	38.76	38.76	38.76
2012-08-24	38.62	38.62	38.62	38.62
2012-08-27	38.72	38.72	38.72	38.72
2012-08-28	38.67	38.67	38.67	38.67
2012-08-29	38.75	38.75	38.75	38.75
2012-08-30	38.43	38.43	38.43	38.43
2012-08-31	38.3	38.3	38.3	38.3
2012-09-03	38.49	38.49	38.49	38.49
2012-09-04	38.19	38.19	38.19	38.19
2012-09-05	38.12	38.12	38.12	38.12
2012-09-06	38.75	38.75	38.75	38.75
2012-09-07	39.1	39.1	39.1	39.1
2012-09-10	38.99	38.99	38.99	38.99
2012-09-11	39.1	39.1	39.1	39.1
2012-09-12	39.5	39.5	39.5	39.5
2012-09-13	39.42	39.42	39.42	39.42
2012-09-14	39.87	39.87	39.87	39.87
2012-09-17	39.9	39.9	39.9	39.9
2012-09-18	39.66	39.66	39.66	39.66
2012-09-19	39.73	39.73	39.73	39.73
2012-09-20	39.62	39.62	39.62	39.62
2012-09-21	39.78	39.78	39.78	39.78
2012-09-24	39.62	39.62	39.62	39.62
2012-09-25	39.89	39.89	39.89	39.89
2012-09-26	39.62	39.62	39.62	39.62
2012-09-27	39.5	39.5	39.5	39.5
2012-09-28	39.05	39.05	39.05	39.05
2012-10-01	39.23	39.23	39.23	39.23
2012-10-02	39.38	39.38	39.38	39.38
2012-10-03	39.46	39.46	39.46	39.46
2012-10-04	39.46	39.46	39.46	39.46
2012-10-05	39.84	39.84	39.84	39.84
2012-10-08	39.82	39.82	39.82	39.82
2012-10-09	39.74	39.74	39.74	39.74
2012-10-10	39.77	39.77	39.77	39.77
2012-10-11	39.91	39.91	39.91	39.91
2012-10-12	39.95	39.95	39.95	39.95
2012-10-15	40.23	40.23	40.23	40.23
2012-10-16	40.78	40.78	40.78	40.78
2012-10-17	41.13	41.13	41.13	41.13
2012-10-18	41.12	41.12	41.12	41.12
2012-10-19	41.27	41.27	41.27	41.27
2012-10-22	41.09	41.09	41.09	41.09
2012-10-23	40.47	40.47	40.47	40.47
2012-10-24	40.61	40.61	40.61	40.61
2012-10-25	40.93	40.93	40.93	40.93
2012-10-26	40.88	40.88	40.88	40.88
2012-10-29	40.88	40.88	40.88	40.88
2012-10-30	40.97	40.97	40.97	40.97
2012-10-31	41.14	41.14	41.14	41.14
2012-11-02	41.38	41.38	41.38	41.38
2012-11-05	40.97	40.97	40.97	40.97
2012-11-06	41.1	41.1	41.1	41.1
2012-11-07	40.85	40.85	40.85	40.85
2012-11-08	40.65	40.65	40.65	40.65
