Date	Open	High	Low	Close
2013-05-03	100.22	100.22	100.22	100.22
2013-05-06	102.1	102.1	101.93	102.05
2013-05-07	101.24	102.24	101.24	102.24
2013-05-08	101.85	102.36	101.85	102.36
2013-05-10	103.73	104.74	103.73	104.74
2013-05-13	105.49	106.24	105.45	105.96
2013-05-14	105.44	106.62	105.33	106.62
2013-05-15	107.13	108.03	107.02	107.62
2013-05-16	106.41	106.43	105.91	105.98
2013-05-17	107.22	107.83	107.05	107.83
2013-05-20	108.2	108.35	108.2	108.3
2013-05-21	108.41	108.78	108.41	108.53
2013-05-22	110.01	110.98	110.01	110.86
2013-05-23	101.31	101.31	98.35	100.32
2013-05-24	101.69	102.76	98.97	99.09
2013-05-27	97.74	97.74	95.65	96.83
2013-05-30	97.34	97.34	97.0	97.27
2013-05-31	96.49	96.49	94.87	96.06
2013-06-03	94.3	94.3	91.48	91.48
2013-06-04	96.55	96.55	96.12	96.12
2013-06-05	94.07	94.07	91.75	91.75
2013-06-06	91.0	91.0	89.97	89.97
2013-06-07	89.37	92.02	88.24	92.02
2013-06-10	95.44	96.22	95.44	95.65
2013-06-11	94.3	94.3	92.55	92.86
2013-06-13	90.03	90.53	90.03	90.53
2013-06-14	90.69	90.69	89.51	89.51
2013-06-17	92.61	93.12	92.61	93.12
2013-06-18	92.45	94.53	92.45	94.53
2013-06-19	94.44	94.44	94.1	94.28
2013-06-20	93.86	94.44	92.42	92.53
2013-06-21	94.48	94.93	93.22	93.22
2013-06-24	92.62	93.1	91.65	91.81
2013-06-25	91.55	92.98	91.43	92.98
2013-06-26	90.82	92.2	90.68	91.88
2013-06-27	93.55	95.5	93.45	95.5
2013-06-28	96.62	97.79	96.49	97.52
2013-07-01	98.91	99.32	98.34	99.1
2013-07-02	100.22	101.7	99.6	100.96
2013-07-03	99.8	99.8	98.24	99.18
2013-07-04	100.8	100.8	99.4	100.68
2013-07-05	101.5	101.87	101.04	101.04
2013-07-08	100.09	101.62	99.99	101.62
2013-07-09	101.88	103.11	101.58	102.29
2013-07-10	103.0	103.0	97.72	101.69
2013-07-11	100.51	101.27	100.18	100.45
2013-07-12	101.14	101.61	101.14	101.61
2013-07-15	101.93	103.2	101.93	102.8
2013-07-16	102.43	102.43	101.88	102.16
2013-07-17	102.21	103.15	102.21	103.15
2013-07-18	103.17	105.83	103.17	105.83
2013-07-19	102.99	103.6	102.95	103.21
2013-07-22	103.0	103.64	102.91	102.91
2013-07-23	103.23	103.9	102.99	102.99
2013-07-25	101.36	101.36	99.89	99.99
2013-07-26	98.8	98.89	96.51	96.51
2013-07-29	95.02	95.03	94.51	94.51
2013-07-30	96.79	96.79	95.5	95.5
2013-07-31	95.08	95.5	95.08	95.27
2013-08-01	98.49	99.2	98.49	99.2
2013-08-02	101.12	101.39	99.07	99.56
2013-08-08	96.12	96.12	94.69	94.69
2013-08-09	96.28	96.29	95.38	95.43
2013-08-13	98.56	98.58	97.5	97.5
2013-08-14	98.45	98.45	98.04	98.04
2013-08-15	97.29	97.39	96.05	96.3
2013-08-16	96.43	96.43	95.93	96.12
2013-08-20	94.92	94.92	94.57	94.57
2013-08-21	94.13	94.4	93.67	94.0
2013-08-22	94.33	95.77	94.33	95.53
2013-08-23	96.12	96.93	96.12	96.35
2013-08-26	95.88	96.29	95.32	96.29
2013-08-27	95.36	95.36	93.81	93.99
2013-08-28	93.88	93.88	93.52	93.85
2013-08-29	94.47	96.02	94.23	94.98
2013-09-02	94.51	95.1	94.51	95.07
2013-09-03	98.72	98.72	95.63	96.07
2013-09-04	97.38	97.39	96.23	97.16
2013-09-05	97.7	97.7	96.92	97.44
2013-09-06	96.57	96.62	95.97	96.6
2013-09-09	98.09	99.0	98.09	98.86
2013-09-10	100.26	101.48	99.99	101.31
2013-09-11	101.05	101.05	99.77	100.0
2013-09-12	99.61	99.61	99.21	99.35
2013-09-13	99.59	99.6	99.32	99.32
2013-09-16	99.8	100.31	99.8	100.31
2013-09-17	99.3	100.13	99.3	100.13
2013-09-18	99.99	100.39	99.81	100.39
2013-09-19	103.35	103.61	102.75	103.32
2013-09-20	102.64	102.75	102.64	102.75
2013-09-23	103.54	103.54	101.28	101.28
2013-09-24	102.18	102.69	101.66	102.33
2013-09-25	101.62	101.82	101.36	101.82
2013-09-26	103.82	103.83	102.64	103.23
2013-09-27	102.64	102.95	101.76	102.14
2013-09-30	100.88	100.88	100.2	100.83
2013-10-01	100.87	101.28	100.26	101.08
2013-10-02	99.09	99.28	98.51	99.22
2013-10-04	98.26	98.68	97.98	97.98
2013-10-07	96.67	96.86	96.27	96.86
