Date	Open	High	Low	Close
2011-01-20	101.31	101.68	101.31	101.4
2011-01-21	101.25	101.6	101.25	101.32
2011-01-27	101.6	101.77	101.53	101.53
2011-01-31	101.73	101.73	101.62	101.62
2011-02-02	101.86	102.06	101.78	101.78
2011-02-03	102.02	102.02	101.82	101.82
2011-02-04	102.1	102.1	101.95	101.95
2011-02-07	102.07	102.3	102.07	102.3
2011-02-08	102.16	102.37	102.16	102.37
2011-02-09	102.05	102.15	102.05	102.08
2011-02-10	102.22	102.4	102.19	102.19
2011-02-11	102.16	102.25	102.12	102.12
2011-02-14	102.39	102.39	102.18	102.18
2011-02-16	102.22	102.53	102.22	102.39
2011-02-17	102.41	102.54	102.41	102.44
2011-02-18	102.45	102.74	102.45	102.51
2011-02-21	102.85	102.9	102.72	102.72
2011-02-22	102.66	102.8	102.62	102.62
2011-02-25	102.51	102.58	102.51	102.54
2011-02-28	102.56	102.65	102.56	102.58
2011-03-01	102.61	102.88	102.61	102.71
2011-03-02	102.76	102.88	102.58	102.58
2011-03-04	102.8	102.8	102.66	102.66
2011-03-07	102.6	102.67	102.59	102.59
2011-03-08	102.61	102.68	102.54	102.54
2011-03-09	102.61	102.61	102.37	102.37
2011-03-10	102.38	102.38	102.22	102.27
2011-03-11	102.28	102.28	102.09	102.09
2011-03-15	102.0	102.0	101.41	101.41
2011-03-17	101.39	101.58	101.36	101.36
2011-03-21	101.7	102.06	101.7	101.86
2011-03-22	101.91	102.1	101.62	101.62
2011-03-28	102.13	102.24	102.13	102.15
2011-03-29	102.17	102.17	101.78	101.78
2011-03-30	102.06	102.31	102.06	102.2
2011-03-31	102.2	102.25	102.14	102.14
2011-04-01	102.22	102.22	102.1	102.1
2011-04-04	102.29	102.44	102.29	102.44
2011-04-05	102.34	102.6	102.34	102.41
2011-04-06	102.45	102.58	102.34	102.58
2011-04-07	102.55	102.79	102.55	102.71
2011-04-08	102.78	102.8	102.78	102.78
2011-04-11	102.85	102.86	102.85	102.86
2011-04-12	102.86	102.89	102.84	102.84
2011-04-13	102.89	102.89	102.42	102.42
2011-04-14	102.88	102.88	102.79	102.79
2011-04-15	102.68	102.81	102.4	102.67
2011-04-18	102.71	102.91	102.65	102.65
2011-04-19	102.68	102.83	102.51	102.65
2011-04-20	102.69	102.9	102.69	102.76
2011-04-26	103.13	103.15	103.11	103.11
2011-04-27	103.16	103.29	103.15	103.15
2011-05-02	103.1	103.48	103.1	103.48
2011-05-03	103.71	103.72	103.38	103.72
2011-05-05	103.86	103.86	103.66	103.66
2011-05-06	103.72	103.72	103.51	103.6
2011-05-09	103.73	103.93	103.73	103.77
2011-05-10	103.76	103.97	103.59	103.8
2011-05-11	103.82	104.08	103.82	103.91
2011-05-12	104.09	104.09	103.95	103.95
2011-05-13	103.95	104.18	103.95	103.98
2011-05-16	103.98	104.17	103.98	104.01
2011-05-17	104.01	104.27	104.01	104.27
2011-05-18	104.08	104.08	103.91	103.96
2011-05-19	104.06	104.26	103.87	104.0
2011-05-20	104.1	104.1	103.95	103.95
2011-05-23	103.3	104.0	103.3	103.88
2011-05-24	103.96	104.19	103.83	103.83
2011-05-25	104.0	104.19	103.97	103.97
2011-05-26	104.26	104.26	104.05	104.05
2011-05-27	103.83	103.93	103.82	103.82
2011-05-30	103.95	104.05	103.89	103.89
2011-06-01	103.92	104.13	103.92	103.93
2011-06-02	103.96	104.03	103.92	103.92
2011-06-03	103.93	103.93	103.82	103.9
2011-06-06	103.91	104.22	103.47	103.47
2011-06-08	103.27	103.47	103.25	103.25
2011-06-09	103.24	103.24	103.08	103.13
2011-06-10	103.17	103.2	103.1	103.1
2011-06-13	103.18	103.18	102.84	102.9
2011-06-14	102.83	103.01	102.82	102.82
2011-06-15	103.02	103.02	102.71	102.71
2011-06-16	102.6	102.6	102.29	102.29
2011-06-17	102.31	102.46	102.31	102.32
2011-06-21	102.22	102.22	102.16	102.16
2011-06-23	102.37	102.37	102.12	102.21
2011-06-24	102.26	102.34	102.25	102.25
2011-06-27	102.15	102.3	102.02	102.02
2011-06-28	102.05	102.05	102.05	102.05
2011-06-29	102.22	102.44	102.22	102.42
2011-06-30	102.54	102.82	102.54	102.82
2011-07-01	102.9	103.17	102.9	103.07
2011-07-04	103.12	103.29	103.12	103.19
2011-07-06	103.1	103.23	103.05	103.05
2011-07-08	102.97	103.11	102.79	102.9
2011-07-11	102.73	102.73	102.33	102.44
2011-07-12	102.3	102.3	101.84	101.84
2011-07-13	102.09	102.46	102.09	102.31
2011-07-18	102.31	102.31	102.06	102.06
2011-07-19	102.07	102.16	101.88	102.01
2011-07-20	102.02	102.15	102.02	102.15
2011-07-22	102.38	102.85	102.38	102.72
2011-07-27	102.71	102.81	102.63	102.63
2011-07-28	102.59	102.59	102.44	102.44
2011-07-29	102.3	102.47	102.3	102.47
2011-08-02	102.55	102.55	102.33	102.33
2011-08-04	101.87	101.87	101.38	101.38
2011-08-05	100.8	100.8	100.27	100.27
2011-08-08	99.98	99.98	99.33	99.33
2011-08-09	98.6	98.6	97.9	97.9
2011-08-10	98.4	98.51	98.12	98.12
2011-08-11	96.57	96.82	96.57	96.82
2011-08-12	96.7	96.89	96.51	96.87
2011-08-15	97.01	97.67	97.01	97.58
2011-08-16	97.51	97.51	97.36	97.36
2011-08-17	97.77	98.21	97.77	98.21
2011-08-18	98.21	98.21	97.81	97.81
2011-08-19	97.59	97.59	97.33	97.33
2011-08-22	97.19	97.19	97.0	97.0
2011-08-23	96.92	96.92	96.35	96.35
2011-08-25	96.06	96.53	96.06	96.29
2011-08-26	96.19	96.41	96.19	96.22
2011-08-30	96.91	96.96	96.91	96.96
2011-08-31	97.34	98.21	97.34	98.03
2011-09-05	97.85	97.85	97.01	97.16
2011-09-07	96.55	96.96	96.55	96.71
2011-09-09	96.92	97.03	96.3	96.74
2011-09-12	96.33	96.33	95.44	95.47
2011-09-13	95.58	95.58	95.25	95.26
