Date	Open	High	Low	Close
2008-03-26	7.11	7.12	6.99	6.99
2008-04-01	7.0	7.0	7.0	7.0
2008-04-02	7.24	7.27	7.24	7.24
2008-04-03	7.16	7.16	7.14	7.14
2008-04-04	7.13	7.13	7.13	7.13
2008-04-07	7.11	7.11	7.05	7.05
2008-04-08	7.09	7.09	7.08	7.08
2008-04-11	7.02	7.02	7.02	7.02
2008-04-14	7.13	7.15	7.13	7.15
2008-04-15	7.15	7.15	7.15	7.15
2008-04-16	7.18	7.24	7.18	7.24
2008-04-17	7.34	7.34	7.34	7.34
2008-04-18	7.3	7.36	7.3	7.36
2008-04-21	7.34	7.34	7.18	7.18
2008-04-22	7.14	7.14	7.08	7.08
2008-04-24	7.18	7.18	7.18	7.18
2008-04-25	7.12	7.52	7.12	7.5
2008-04-28	7.46	7.46	7.46	7.46
2008-04-29	7.25	7.25	7.25	7.25
2008-05-02	7.38	7.38	7.38	7.38
2008-05-05	7.38	7.38	7.38	7.38
2008-05-06	7.39	7.39	7.39	7.39
2008-05-07	7.39	7.39	7.39	7.39
2008-05-08	7.5	7.5	7.5	7.5
2008-05-12	7.33	7.33	7.31	7.33
2008-05-14	7.2	7.2	7.2	7.2
2008-05-15	7.3	7.3	7.3	7.3
2008-05-19	7.49	7.5	7.49	7.5
2008-05-20	7.5	7.5	7.5	7.5
2008-05-21	7.5	7.5	7.5	7.5
2008-05-26	7.4	7.4	7.4	7.4
2008-05-28	7.03	7.18	7.03	7.18
2008-05-29	7.04	7.04	7.04	7.04
2008-05-30	7.52	7.52	7.05	7.05
2008-06-02	6.88	6.88	6.88	6.88
2008-06-03	6.7	6.79	6.7	6.79
2008-06-05	6.55	6.55	6.55	6.55
2008-06-06	6.61	6.78	6.51	6.51
2008-06-09	6.41	6.41	6.39	6.39
2008-06-10	6.26	6.41	6.26	6.41
2008-06-11	6.34	6.34	6.31	6.31
2008-06-12	6.42	6.42	6.42	6.42
2008-06-13	6.35	6.52	6.35	6.52
2008-06-17	6.5	6.5	6.27	6.27
2008-06-23	6.11	6.11	6.11	6.11
2008-06-24	6.09	6.09	6.09	6.09
2008-06-25	6.2	6.26	6.2	6.26
2008-07-01	6.07	6.07	6.07	6.07
2008-07-02	6.02	6.02	6.02	6.02
2008-07-03	5.87	5.87	5.85	5.85
