Date	Open	High	Low	Close
2005-07-26	55.0	55.28	55.0	55.28
2005-07-27	55.5	56.17	55.22	55.74
2005-07-28	56.08	56.08	55.5	55.5
2005-07-29	55.98	56.26	55.97	55.97
2005-08-01	56.3	56.35	56.05	56.09
2005-08-02	57.4	57.4	56.65	56.79
2005-08-03	56.31	56.4	55.83	55.88
2005-08-04	55.43	55.8	55.14	55.14
2005-08-05	55.32	55.71	55.32	55.71
2005-08-08	56.1	56.8	55.9	56.19
2005-08-09	56.29	56.3	55.9	56.0
2005-08-10	56.2	56.86	56.2	56.86
2005-08-11	57.32	57.32	56.66	56.75
2005-08-12	57.18	57.4	56.8	56.8
2005-08-15	57.05	57.05	57.05	57.05
2005-08-16	57.22	57.73	57.22	57.5
2005-08-17	57.35	57.6	57.15	57.3
2005-08-18	55.95	56.27	55.35	56.26
2005-08-19	55.29	55.5	54.9	54.9
2005-08-22	55.7	55.94	55.58	55.64
2005-08-23	55.47	55.5	54.85	55.25
2005-08-24	55.0	55.0	54.0	54.1
2005-08-25	54.16	54.26	53.9	54.1
2005-08-26	54.0	54.72	54.0	54.56
2005-08-29	53.63	54.1	53.57	53.57
2005-08-30	54.0	54.6	54.0	54.3
2005-08-31	53.4	54.21	53.4	53.74
2005-09-01	54.09	54.25	53.4	53.46
2005-09-02	53.69	53.74	53.1	53.32
2005-09-05	53.24	53.55	53.15	53.2
2005-09-06	53.17	53.79	53.1	53.53
2005-09-07	53.31	54.2	53.2	53.83
2005-09-08	53.62	53.9	53.3	53.3
2005-09-09	53.7	54.1	53.4	53.7
2005-09-12	54.37	54.75	54.17	54.55
2005-09-13	54.43	54.6	53.97	54.12
2005-09-14	53.8	53.97	53.65	53.75
2005-09-15	54.12	54.12	53.95	54.07
2005-09-16	53.74	54.1	53.5	53.9
2005-09-19	54.33	54.37	54.1	54.1
2005-09-20	54.99	55.03	54.74	54.75
2005-09-21	54.33	54.4	54.15	54.2
2005-09-22	54.0	54.2	53.7	54.2
2005-09-23	53.69	54.17	53.5	54.05
2005-09-26	54.0	54.35	54.0	54.15
2005-09-27	54.49	54.49	54.0	54.08
2005-09-28	54.35	54.49	54.0	54.49
2005-09-29	55.6	56.41	55.6	56.25
2005-09-30	56.25	56.75	56.25	56.6
2005-10-03	57.2	57.5	57.0	57.5
2005-10-04	57.6	57.6	57.25	57.32
2005-10-05	56.29	56.65	55.7	56.12
2005-10-06	54.1	54.57	54.1	54.17
2005-10-07	54.06	54.36	53.9	54.28
2005-10-10	54.75	55.15	54.69	55.1
2005-10-11	55.4	55.49	55.25	55.25
2005-10-12	55.06	55.06	54.3	54.3
2005-10-13	54.7	55.0	54.4	54.91
2005-10-14	53.7	53.8	53.33	53.33
2005-10-17	53.59	53.76	53.35	53.76
2005-10-18	53.85	54.62	53.85	54.5
2005-10-19	53.65	53.7	53.1	53.32
