Date	Open	High	Low	Close
2014-04-15	98.78	98.78	97.68	97.68
2014-04-16	98.52	99.14	98.52	99.14
2014-04-24	101.7	102.01	101.7	102.01
2014-05-09	102.19	102.19	101.86	101.86
2014-05-12	102.07	102.78	102.07	102.78
2014-05-14	103.13	103.13	102.19	102.19
2014-05-15	102.07	102.07	100.12	100.12
2014-05-29	103.18	103.24	103.18	103.24
2014-06-25	101.95	101.95	101.0	101.37
2014-07-07	104.71	104.71	103.55	103.55
2014-07-21	101.09	101.09	100.59	100.59
2014-07-29	101.62	101.66	101.3	101.66
2014-08-04	98.3	98.3	98.3	98.3
2014-08-21	99.72	100.26	99.72	100.26
2014-09-22	101.13	101.13	101.0	101.0
2014-09-30	99.45	99.65	99.37	99.65
2014-10-10	92.76	92.76	92.72	92.73
2014-10-13	91.83	91.83	91.67	91.67
2014-10-24	95.82	95.82	95.61	95.61
2014-11-07	98.76	98.76	97.82	97.82
2014-11-27	100.64	101.02	100.64	100.72
2014-11-28	100.92	100.92	100.46	100.46
2014-12-12	99.1	99.1	97.87	97.87
2014-12-15	97.81	97.81	96.37	96.37
2014-12-16	96.57	97.15	96.57	97.15
2014-12-17	96.62	97.5	96.62	97.5
2014-12-18	98.94	100.38	98.94	100.38
2014-12-19	100.58	100.76	100.58	100.76
2014-12-22	101.15	101.38	101.15	101.38
2014-12-23	101.47	102.06	101.47	102.06
2014-12-29	102.01	102.01	102.01	102.01
2014-12-30	101.73	101.9	101.73	101.9
2015-01-02	102.84	102.84	102.57	102.57
2015-01-05	102.39	102.39	101.64	101.64
2015-01-06	101.65	101.65	100.54	100.54
2015-01-07	100.83	100.83	100.83	100.83
2015-01-08	101.6	102.51	101.6	102.51
2015-01-09	102.36	102.36	102.01	102.01
2015-01-12	102.25	102.25	102.19	102.19
2015-01-13	102.17	103.25	102.17	103.25
2015-01-14	102.63	102.63	102.32	102.32
2015-01-15	102.93	104.1	102.93	104.1
2015-01-16	103.89	104.76	103.89	104.76
