Date	Open	High	Low	Close
2008-05-20	7.84	7.84	7.84	7.84
2008-05-21	7.82	7.82	7.75	7.75
2008-05-23	7.76	7.76	7.76	7.76
2008-06-03	7.61	7.61	7.61	7.61
2008-06-04	7.65	7.65	7.64	7.64
2008-06-05	7.57	7.57	7.57	7.57
2008-06-17	7.5	7.5	7.47	7.47
2008-06-18	7.33	7.33	7.33	7.33
2008-06-25	7.18	7.18	7.18	7.18
2008-07-01	7.01	7.01	7.01	7.01
2008-07-11	6.74	6.74	6.74	6.74
2008-07-14	6.73	6.73	6.73	6.73
2008-07-24	6.95	6.95	6.95	6.95
2008-07-25	6.83	6.83	6.83	6.83
2008-07-31	6.91	6.91	6.91	6.91
2008-08-04	6.87	6.87	6.87	6.87
2008-08-06	6.96	7.015	6.96	7.015
2008-08-07	7.015	7.015	7.015	7.015
2008-08-13	6.925	6.925	6.925	6.925
2008-08-19	6.815	6.815	6.815	6.815
2008-08-22	6.925	6.925	6.925	6.925
2008-08-26	6.905	6.92	6.905	6.92
2008-08-27	6.955	6.955	6.955	6.955
2008-08-29	7.06	7.06	7.06	7.06
2008-09-03	6.93	6.94	6.87	6.87
2008-09-04	6.87	6.87	6.775	6.775
2008-09-08	6.81	6.92	6.81	6.92
2008-09-10	6.78	6.8	6.78	6.8
2008-09-11	6.8	6.8	6.8	6.8
2008-09-12	6.885	6.885	6.885	6.885
2008-09-15	6.62	6.62	6.62	6.62
2008-09-16	6.44	6.45	6.44	6.45
2008-09-18	6.31	6.31	6.31	6.31
2008-09-19	6.67	6.78	6.67	6.78
2008-09-22	6.815	6.83	6.74	6.74
2008-09-23	6.64	6.64	6.51	6.51
2008-09-26	6.525	6.525	6.525	6.525
2008-10-01	6.39	6.39	6.39	6.39
2008-10-10	5.16	5.16	5.065	5.065
2008-10-20	5.5	5.5	5.5	5.5
2008-10-23	5.09	5.09	5.09	5.09
2008-10-24	4.87	4.87	4.87	4.87
2008-10-29	5.38	5.38	5.38	5.38
2008-10-31	5.54	5.54	5.54	5.54
2008-11-04	5.74	5.76	5.74	5.76
2008-11-05	5.78	5.78	5.78	5.78
2008-11-12	5.21	5.215	5.21	5.215
2008-11-24	4.765	4.765	4.765	4.765
2008-12-18	4.77	4.77	4.74	4.74
2008-12-22	4.65	4.65	4.65	4.65
2008-12-24	4.575	4.575	4.575	4.575
2008-12-29	4.55	4.55	4.5	4.5
2009-01-05	4.955	4.99	4.955	4.99
2009-01-08	5.115	5.115	5.115	5.115
2009-01-09	5.14	5.17	5.14	5.17
2009-01-12	5.06	5.06	5.06	5.06
2009-01-13	4.92	4.92	4.88	4.9
2009-01-14	4.88	4.88	4.88	4.88
2009-01-16	4.895	4.895	4.895	4.895
2009-01-19	4.86	4.86	4.605	4.675
2009-01-23	4.43	4.43	4.43	4.43
2009-01-27	4.599	4.604	4.599	4.604
2009-01-28	4.762	4.762	4.762	4.762
2009-01-30	4.795	4.795	4.775	4.775
2009-02-02	4.654	4.654	4.654	4.654
2009-02-03	4.695	4.73	4.695	4.73
2009-02-04	4.765	4.765	4.765	4.765
2009-02-09	5.05	5.05	5.05	5.05
2009-02-10	4.994	4.994	4.994	4.994
2009-02-11	4.855	4.855	4.827	4.827
2009-02-17	4.737	4.737	4.708	4.721
2009-02-18	4.678	4.684	4.678	4.684
2009-02-20	4.622	4.622	4.622	4.622
2009-02-25	4.55	4.55	4.47	4.47
2009-02-26	4.581	4.614	4.581	4.613
2009-02-27	4.482	4.482	4.403	4.414
2009-03-02	4.309	4.309	4.286	4.286
2009-03-03	4.172	4.175	4.172	4.175
2009-03-04	4.232	4.232	4.232	4.232
2009-03-05	4.251	4.251	4.18	4.18
2009-03-10	4.083	4.083	4.083	4.083
2009-03-11	4.153	4.182	4.145	4.145
2009-03-13	4.283	4.292	4.26	4.26
2009-03-16	4.351	4.351	4.351	4.351
2009-03-17	4.334	4.334	4.316	4.316
2009-03-20	4.19	4.2	4.19	4.2
2009-03-23	4.35	4.353	4.35	4.353
2009-03-31	4.407	4.413	4.407	4.413
2009-04-01	4.441	4.441	4.406	4.406
2009-04-02	4.604	4.703	4.604	4.636
2009-04-03	4.709	4.712	4.631	4.637
2009-04-06	4.707	4.707	4.606	4.606
2009-04-07	4.544	4.544	4.544	4.544
2009-04-08	4.535	4.563	4.535	4.56
2009-04-09	4.58	4.591	4.542	4.591
2009-04-14	4.62	4.7	4.62	4.63
2009-04-15	4.66	4.73	4.66	4.73
2009-04-16	4.72	4.76	4.72	4.76
2009-04-17	4.79	4.85	4.79	4.85
2009-04-20	4.78	4.78	4.7	4.7
2009-04-21	4.7	4.7	4.6	4.666
2009-04-22	4.713	4.72	4.69	4.694
2009-04-23	4.693	4.693	4.693	4.693
2009-04-24	4.7	4.8	4.7	4.8
2009-04-28	4.754	4.783	4.75	4.783
2009-04-29	4.782	4.87	4.782	4.87
2009-04-30	4.95	4.994	4.94	4.94
2009-05-04	4.991	4.998	4.991	4.993
2009-05-05	5.09	5.14	5.09	5.14
2009-05-06	5.22	5.22	5.205	5.22
2009-05-07	5.261	5.315	5.261	5.315
2009-05-08	5.217	5.217	5.195	5.195
2009-05-12	5.168	5.203	5.168	5.203
