Date	Open	High	Low	Close
2005-04-13	121.34	121.34	121.34	121.34
2005-04-14	120.94	120.94	120.84	120.84
2005-04-15	119.74	119.74	118.5	118.5
2005-04-18	116.32	116.32	115.88	115.88
2005-04-19	116.44	116.44	116.15	116.15
2005-04-20	116.71	116.71	115.68	115.68
2005-04-21	115.2	115.72	115.2	115.72
2005-04-22	116.74	116.74	116.64	116.64
2005-04-25	116.62	117.15	116.57	117.15
2005-04-26	117.28	117.28	116.81	116.81
2005-04-27	116.92	116.92	115.4	115.4
2005-04-28	116.09	116.09	115.4	115.4
2005-04-29	114.82	115.45	114.82	115.45
2005-05-02	116.58	116.58	116.58	116.58
2005-05-03	116.64	116.94	116.64	116.94
2005-05-04	117.22	117.45	117.19	117.44
2005-05-05	117.97	118.44	117.97	118.44
2005-05-06	118.28	118.75	118.28	118.7
2005-05-09	118.87	118.87	118.34	118.34
2005-05-10	118.54	118.54	117.5	117.5
2005-05-11	117.59	117.59	117.14	117.14
2005-05-12	117.9	118.0	117.9	118.0
2005-05-13	117.59	117.81	117.59	117.81
2005-05-16	117.79	117.79	117.79	117.79
2005-05-17	118.02	118.02	117.39	117.44
2005-05-18	118.0	119.5	118.0	119.5
2005-05-19	120.05	120.5	120.05	120.46
2005-05-20	120.46	120.46	120.3	120.3
2005-05-23	120.8	121.1	120.78	121.04
2005-05-24	121.1	121.1	120.81	121.04
2005-05-25	121.17	121.17	120.8	120.8
2005-05-26	121.24	121.97	121.24	121.97
2005-05-27	122.2	122.2	121.85	121.97
2005-05-30	121.8	122.71	121.8	122.71
2005-05-31	122.51	122.51	122.27	122.27
2005-06-01	122.78	122.8	122.78	122.8
2005-06-02	124.12	124.49	123.89	124.49
2005-06-03	124.6	124.6	123.61	123.61
2005-06-06	123.69	123.69	123.14	123.14
2005-06-07	123.4	123.73	123.4	123.73
2005-06-08	124.14	124.3	124.1	124.22
2005-06-09	123.94	124.14	123.85	124.14
2005-06-10	124.8	124.88	124.8	124.88
2005-06-13	125.14	125.6	125.03	125.6
2005-06-14	125.38	125.78	125.38	125.78
2005-06-15	125.81	126.18	125.3	125.38
2005-06-16	126.07	126.22	126.07	126.22
2005-06-17	127.0	127.0	126.85	126.85
2005-06-20	126.42	126.42	126.42	126.42
2005-06-21	126.9	126.98	126.9	126.98
2005-06-22	127.0	127.0	127.0	127.0
2005-06-23	127.7	127.88	127.54	127.88
2005-06-24	127.02	127.02	126.91	126.91
2005-06-27	126.07	126.07	125.5	125.5
2005-06-28	126.25	126.6	126.25	126.6
2005-06-29	126.8	127.38	126.8	127.19
2005-06-30	127.19	127.43	127.11	127.34
2005-07-01	127.6	128.48	127.6	128.48
2005-07-04	128.77	128.77	128.56	128.56
2005-07-05	128.2	128.46	128.2	128.46
2005-07-06	129.3	129.3	129.11	129.11
2005-07-07	128.93	128.93	124.85	126.6
2005-07-08	128.15	129.21	128.15	128.98
2005-07-11	129.81	129.96	129.81	129.96
2005-07-12	129.79	129.79	129.3	129.3
2005-07-13	129.79	130.41	129.79	130.41
2005-07-14	130.72	131.02	130.72	131.02
2005-07-15	131.05	131.05	130.9	130.9
2005-07-18	130.94	130.94	130.94	130.94
2005-07-19	131.2	132.42	131.2	132.42
2005-07-20	132.6	132.6	130.5	132.41
2005-07-21	132.78	133.1	132.3	132.52
2005-07-22	132.57	132.57	132.3	132.49
2005-07-25	133.2	133.2	132.06	133.08
2005-07-26	132.48	133.03	132.48	133.03
2005-07-27	133.0	133.25	133.0	133.14
2005-07-28	134.05	134.05	133.58	134.02
2005-07-29	134.37	134.51	133.5	133.5
2005-08-01	133.45	133.45	133.45	133.45
2005-08-02	133.69	134.0	133.69	134.0
2005-08-03	135.0	135.19	134.43	135.19
2005-08-04	133.7	133.7	133.58	133.58
2005-08-05	133.19	133.19	132.69	132.88
2005-08-08	133.24	133.62	133.06	133.3
2005-08-09	133.28	134.67	133.28	134.67
2005-08-10	135.06	135.81	135.06	135.81
2005-08-11	135.73	135.9	135.73	135.9
2005-08-12	135.3	135.3	135.3	135.3
2005-08-15	135.0	135.0	135.0	135.0
2005-08-16	135.3	135.3	134.93	134.93
2005-08-17	133.5	133.5	133.47	133.47
2005-08-18	133.18	133.18	132.94	133.0
2005-08-19	134.37	134.37	134.37	134.37
2005-08-22	134.89	134.89	134.89	134.89
2005-08-23	134.53	134.53	133.98	133.98
2005-08-24	133.2	133.2	132.7	133.11
2005-08-25	132.6	132.6	132.1	132.26
2005-08-26	132.33	132.33	131.62	131.62
2005-08-29	130.3	130.54	130.3	130.54
2005-08-30	131.86	131.86	131.83	131.83
2005-08-31	132.24	132.79	132.24	132.63
2005-09-01	133.7	133.99	133.7	133.99
2005-09-05	134.15	134.2	134.15	134.2
2005-09-06	135.2	136.0	135.2	136.0
2005-09-07	136.68	136.68	136.4	136.56
2005-09-08	136.32	136.37	136.32	136.37
2005-09-09	136.64	136.64	136.64	136.64
2005-09-12	137.63	137.63	137.0	137.0
2005-09-13	137.08	137.08	135.75	136.02
2005-09-14	136.55	136.55	136.55	136.55
2005-09-15	135.78	136.37	135.78	136.33
2005-09-16	136.5	137.07	136.5	137.07
2005-09-19	136.68	136.68	136.3	136.63
2005-09-20	137.4	137.4	137.25	137.36
2005-09-21	137.1	137.1	136.3	136.3
2005-09-22	135.47	135.6	135.47	135.6
2005-09-23	135.9	136.45	135.9	136.13
2005-09-26	137.6	138.7	137.6	138.7
2005-09-28	139.0	139.82	139.0	139.82
2005-09-30	140.18	140.59	140.18	140.59
2005-10-03	140.89	140.9	140.89	140.9
2005-10-04	141.1	141.65	140.86	141.65
2005-10-05	141.04	141.04	140.42	140.56
2005-10-06	138.82	138.82	137.77	137.77
2005-10-07	137.95	137.95	137.65	137.77
2005-10-10	138.62	138.68	138.62	138.68
2005-10-11	138.69	138.69	138.69	138.69
2005-10-12	137.66	137.66	137.66	137.66
2005-10-13	136.32	136.32	135.97	135.97
2005-10-17	137.23	137.26	136.7	136.7
2005-10-18	136.99	136.99	136.5	136.5
2005-10-19	134.6	134.6	134.23	134.23
2005-10-20	135.07	135.07	135.0	135.0
2005-10-21	133.47	133.6	133.47	133.6
2005-10-24	133.8	134.42	133.5	134.42
2005-10-25	135.0	135.0	135.0	135.0
2005-10-26	135.38	135.51	135.0	135.51
2005-10-27	134.3	134.3	133.5	133.5
2005-10-28	132.36	132.36	132.36	132.36
2005-10-31	134.51	135.41	134.51	135.41
2005-11-01	136.7	136.7	136.7	136.7
2005-11-02	136.51	136.51	136.51	136.51
2005-11-03	137.67	138.66	137.67	138.66
2005-11-04	138.66	138.66	138.66	138.66
2005-11-07	138.7	138.91	138.7	138.91
2005-11-08	139.14	139.14	138.52	138.52
2005-11-10	139.0	139.2	138.8	138.8
2005-11-11	139.61	139.61	139.6	139.6
2005-11-14	141.03	141.03	141.03	141.03
2005-11-15	140.8	141.2	140.63	141.2
2005-11-16	140.47	140.47	140.38	140.38
2005-11-17	140.6	140.6	140.6	140.6
2005-11-18	142.38	142.38	142.1	142.1
2005-11-21	142.29	142.35	141.82	142.35
2005-11-23	143.47	143.47	142.9	142.9
2005-11-24	143.7	143.7	143.0	143.15
2005-11-25	143.6	143.61	143.35	143.35
2005-11-28	144.0	144.0	143.4	143.4
2005-11-29	142.8	143.0	142.58	143.0
2005-11-30	143.0	143.0	142.99	142.99
2005-12-01	143.85	144.06	143.85	144.06
2005-12-02	145.62	145.62	145.15	145.4
2005-12-05	145.68	145.8	144.9	144.9
2005-12-06	145.1	145.85	144.9	145.53
2005-12-07	145.86	146.23	145.4	145.4
2005-12-08	144.74	145.11	144.29	145.11
2005-12-09	145.3	145.3	144.88	145.07
2005-12-12	146.14	146.14	145.7	145.9
2005-12-13	145.7	145.8	145.4	145.4
2005-12-14	146.1	146.1	145.28	145.87
2005-12-15	145.8	145.8	145.1	145.21
2005-12-16	146.6	146.7	146.6	146.7
2005-12-19	146.7	146.7	146.7	146.7
2005-12-20	146.19	146.86	146.19	146.86
2005-12-21	147.21	148.23	147.21	148.23
2005-12-22	148.25	148.25	148.07	148.07
2005-12-27	148.8	149.08	148.71	149.08
2005-12-28	148.95	148.95	148.9	148.9
2005-12-29	149.37	149.38	149.35	149.38
2005-12-30	148.5	148.5	147.97	147.97
2006-01-02	148.99	149.1	148.88	149.1
2006-01-03	150.4	150.54	150.19	150.19
2006-01-04	151.05	151.05	150.4	150.4
2006-01-05	151.27	151.27	150.7	150.7
2006-01-06	151.07	151.3	151.07	151.3
2006-01-09	151.94	151.99	151.72	151.87
2006-01-10	151.07	151.08	150.8	150.99
2006-01-11	151.4	152.14	151.4	151.87
2006-01-12	152.0	152.65	152.0	152.65
2006-01-13	152.6	152.6	151.0	151.0
2006-01-16	151.27	151.9	151.27	151.9
2006-01-17	151.1	151.1	150.4	150.8
2006-01-18	148.6	149.2	148.09	149.0
2006-01-19	149.9	150.14	149.79	150.14
2006-01-20	150.7	150.9	148.9	148.9
2006-01-23	147.07	147.9	147.07	147.9
2006-01-24	148.3	148.3	148.1	148.1
2006-01-25	148.5	149.93	148.5	149.93
2006-01-26	150.5	152.09	150.5	152.0
2006-01-27	154.1	154.1	153.3	153.3
2006-01-30	154.73	155.15	154.56	154.8
2006-01-31	155.85	155.85	154.7	155.51
2006-02-01	155.0	156.8	155.0	156.8
2006-02-02	157.14	157.14	155.4	155.4
2006-02-03	155.4	155.4	154.9	154.93
2006-02-06	156.02	156.4	155.6	155.8
2006-02-07	155.5	155.62	155.0	155.62
2006-02-09	156.1	156.59	156.1	156.59
2006-02-10	157.0	157.24	155.9	155.9
2006-02-13	156.3	157.16	156.3	157.16
2006-02-14	158.25	158.25	157.0	157.8
2006-02-15	157.78	157.92	157.52	157.92
2006-02-16	157.6	158.67	157.6	158.67
2006-02-17	158.72	159.39	158.58	159.39
2006-02-20	159.2	159.47	158.9	159.47
2006-02-21	159.5	161.05	159.5	160.9
2006-02-22	160.03	161.29	160.03	161.29
2006-02-23	162.28	162.28	160.9	161.79
2006-02-24	161.8	162.12	161.5	162.12
2006-02-27	162.4	162.4	162.09	162.2
2006-02-28	162.57	162.57	160.3	160.3
2006-03-01	160.0	161.09	160.0	161.0
2006-03-02	161.7	161.7	159.49	159.49
2006-03-03	159.78	159.78	158.3	158.3
2006-03-06	159.0	159.8	158.98	159.6
2006-03-07	158.5	158.5	157.5	157.5
2006-03-08	158.4	158.5	156.85	156.9
2006-03-10	158.67	160.06	158.6	160.06
2006-03-13	161.22	161.65	161.15	161.61
2006-03-14	161.29	161.29	161.1	161.1
2006-03-15	162.13	162.74	162.12	162.12
2006-03-16	161.77	162.16	161.77	162.16
2006-03-17	162.8	163.5	162.45	162.86
2006-03-20	163.9	163.94	163.0	163.19
2006-03-21	162.8	163.53	162.0	163.53
2006-03-22	162.42	163.29	162.42	163.29
2006-03-23	163.71	163.71	163.71	163.71
2006-03-24	163.49	163.68	163.49	163.68
2006-03-27	163.6	163.6	162.5	162.5
2006-03-28	162.49	162.49	162.49	162.49
2006-03-29	162.0	162.18	161.5	162.18
2006-03-30	163.55	164.0	163.3	164.0
2006-03-31	163.8	163.8	163.26	163.26
